City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
8,Rikitea,PF,78.24,scattered clouds,-23.1203,-134.9692,Pension Maro'i
13,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
21,Clarence Town,AU,84.99,few clouds,-32.5833,151.7833,River Downs Cottage
22,Cidreira,BR,76.5,few clouds,-30.1811,-50.2056,Hotel Castelo
26,Bengkulu,ID,85.14,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
27,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
32,Domoni,KM,81.52,overcast clouds,-12.2569,44.5319,Al Djadid
34,Kanniyakumari,IN,80.51,heavy intensity rain,8.0833,77.5667,Sparsa
38,Byron Bay,AU,77.0,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
43,Busselton,AU,78.33,clear sky,-33.65,115.3333,Observatory Guest House
47,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
50,Hobyo,SO,76.26,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
53,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
59,Hilo,US,75.2,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
65,Hithadhoo,MV,81.41,overcast clouds,-0.6,73.0833,Scoop Guest House
67,Atuona,PF,77.77,broken clouds,-9.8,-139.0333,Villa Enata
72,Kavieng,PG,84.24,moderate rain,-2.5744,150.7967,Nusa Island Retreat
76,Beloha,MG,82.74,clear sky,-25.1667,45.05,
89,Mamallapuram,IN,82.4,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
92,Bambous Virieux,MU,84.0,light rain,-20.3428,57.7575,Casa Tia Villa
94,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Auki,SB,83.8,light rain,-8.7676,160.7034,Auki Motel
105,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
110,Salinopolis,BR,79.07,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
115,Baculin,PH,78.85,heavy intensity rain,7.4525,126.5842,Shovy's Cove
121,Tautira,PF,84.2,light rain,-17.7333,-149.15,Pension Oaoa
123,Faanui,PF,81.46,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Tecoanapa,MX,75.15,overcast clouds,16.5167,-98.75,Hotel Manglares
127,Mitsamiouli,KM,81.97,moderate rain,-11.3847,43.2844,Foyer ADM
133,Saint-Georges,GD,78.8,light rain,12.0564,-61.7485,Siesta Hotel
137,Aquiraz,BR,78.8,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
139,Tura,IN,76.33,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
147,Linao,PH,78.33,overcast clouds,7.1678,124.9675,Mujeres Plantation and Residency
149,Nabire,ID,86.65,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
151,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
152,Santa Fe,AR,80.01,scattered clouds,-31.6333,-60.7,Conquistador Hotel
155,La Carlota,PH,83.59,scattered clouds,10.4233,122.9208,Casa de Mae
159,Dingle,PH,76.57,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
